ID,Group,Feature_1,Feature_2,Feature_3
ID001,B,2420.952554455469,408.0744411857445,4837.605027086684
ID002,C,2547.1468357135996,416.08761005964703,-2138.8297273215744
ID003,C,2688.2024496475033,394.5257090568567,-2284.7464369326476
ID004,B,2634.5420046154977,387.4118549899149,5266.909319152378
ID005,A,2659.31866266394,384.3278620896845,6048.52420108354
ID006,A,2448.8784323568816,370.50465115936,5509.967689661121
ID007,A,2401.0395179741417,430.8431069491048,5065.938255231065
ID008,C,2487.421307990035,383.45187451417473,-2111.174516264725
ID009,B,2505.5724912288692,396.68119564621344,4988.746503041411
ID010,C,2609.419151847095,395.8478005016662,-2201.4811870673852
ID011,A,2330.753537028518,404.6111004671365,4960.989550840751
ID012,C,2652.9550319460614,412.23605818808943,-2231.2314665680187
ID013,C,2484.199210142101,412.9071023253962,-2094.9333536292465
ID014,A,2457.311893005258,391.2538384214659,5426.377654968036
ID015,A,2398.789562473983,397.4931742932038,5194.368752804561
ID016,A,2334.514332813423,404.23869925732447,4991.118671582445
ID017,A,2582.3170583961914,396.2696331072468,5765.774286466378
ID018,B,2507.3317967188405,424.1101836402999,5003.216320404921
ID019,B,2371.0039100258946,407.36462427457377,4737.123384296668
ID020,A,2370.4921227936384,411.02316679074727,5064.5963559106585
ID021,B,2466.421530070987,409.94321903001116,4934.113793579357
ID022,A,2666.9021525289395,417.60210786227987,5919.70887404109
ID023,A,2474.0408648636394,402.7153233805556,5432.263264702326
ID024,B,2349.685704688189,380.5475207806623,4680.600510035846
ID025,B,2475.4256935914054,405.99531927628965,4970.2579380824345
ID026,C,2472.727643025233,390.22964659312254,-2081.245725181832
ID027,A,2230.311335705843,392.0707497737537,4719.794849668882
ID028,B,2494.570513348219,408.79546028132637,4973.17726318757
ID029,B,2476.906546979132,418.57424607150455,4951.54364926894
ID030,A,2569.620636481342,400.3190736510409,5718.326342531915
ID031,B,2684.8956094945347,404.6324951889845,5368.260629544539
ID032,A,2612.6565029547755,425.5332241695286,5728.437247179652
ID033,A,2473.111130944517,403.61129769232855,5383.862796091288
ID034,C,2389.347409125833,439.02524671270595,-1950.4672297872798
ID035,C,2757.335980324986,408.48264468447314,-2363.8820569734703
ID036,C,2505.9218434014488,373.5885586126627,-2127.969702197286
ID037,A,2501.3929291912946,411.300124316568,5458.320814672212
ID038,A,2497.587491289,405.71737577324166,5459.12645347662
ID039,C,2519.8084760767856,419.3462913112412,-2131.71275104507
ID040,B,2485.5639588076056,410.0977202690494,4973.515295376769
ID041,A,2442.6337993119764,397.9231602402434,5343.526459355516
ID042,B,2445.3141058759606,381.6355264556595,4895.479748811462
ID043,A,2496.7246729784,396.8646511407096,5520.6801495335185
ID044,C,2445.6575228866236,387.2421931868605,-2071.2679738555516
ID045,A,2428.7154217322836,391.29214825292917,5337.84811719761
ID046,B,2510.64302276919,408.82867606630913,5035.596135688115
ID047,A,2474.5022782579144,425.04856756527107,5276.92094593931
ID048,B,2650.399298858269,405.9200729473447,5304.634419627566
ID049,B,2234.903019160699,382.0617540694722,4463.755880349306
ID050,A,2609.1506851922463,406.6690400233021,5793.128583383009
ID051,C,2624.608519249763,417.94947229968477,-2202.4869291476184
ID052,C,2292.660976759185,390.8532564352093,-1907.6544630933383
ID053,C,2465.731240591965,397.98974249990624,-2075.849995041998
ID054,C,2462.855913400421,400.220322920938,-2062.2257614696264
ID055,B,2359.2488305282177,388.2265253037664,4705.450709790081
ID056,C,2422.2183312409124,409.72420650765787,-2025.5240262798766
ID057,A,2388.942415453417,398.18577777088325,5184.050836901313
ID058,A,2675.227044342362,406.2929866586054,5980.430671312155
ID059,A,2593.567839314746,386.6876173329685,5855.261181290305
ID060,A,2627.155509499416,393.4381254951488,5919.826996536751
ID061,B,2572.1672064043237,410.83572036741657,5123.62473206316
ID062,A,2387.0948228782772,394.4075027186235,5181.116179213685
ID063,C,2447.5479733720226,425.90445776850106,-2007.314202766953
ID064,B,2548.937456122792,394.00545721578095,5086.100925871908
ID065,A,2377.7872191108054,403.37027088627826,5110.9374517533115
ID066,B,2571.299843017239,413.98886247809634,5148.1444167535
ID067,A,2475.9674601841866,378.72451400600454,5543.680496633928
ID068,C,2462.5179192450405,373.58786782028835,-2091.948518057286
ID069,A,2571.0959968203492,377.11515528144855,5820.542091717505
ID070,C,2544.426331148604,418.9387615514077,-2108.4191312568137
ID071,C,2463.903383418092,391.7221278116133,-2051.314459640908
ID072,A,2615.932980336425,438.3729892850238,5667.6802911935365
ID073,A,2391.8936672400105,391.5362860201392,5219.023389330116
ID074,C,2561.5935606944263,402.7682695479555,-2168.5244798061617
ID075,C,2559.3101257968383,423.13164928851813,-2146.1438093869992
ID076,C,2469.045356068601,430.09139332238686,-2032.683793483025
ID077,C,2532.613302224212,430.922553649546,-2096.6699699240016
ID078,A,2374.8886423614695,418.12549345889715,5050.85764290528
ID079,B,2592.40270192069,415.36093788717193,5192.610804951814
ID080,A,2481.509786355701,408.88790423801777,5382.052874255896
ID081,C,2447.727697948096,411.67541614249956,-2023.4289103929216
ID082,B,2604.900922583689,391.732214255072,5197.825117639605
ID083,A,2429.565630945724,387.7270167486654,5345.454153830416
ID084,A,2359.153870363644,399.94938313883574,5080.717097871773
ID085,A,2344.33708264761,397.44723066212606,5069.723104509607
ID086,A,2560.600995134564,393.20157926009085,5753.114111775302
ID087,C,2371.9570647503715,410.44581171185075,-1954.2305763288866
ID088,B,2675.4794181984366,414.32957812855767,5348.760476972228
ID089,C,2291.807059211628,401.32610329437773,-1884.0668881354834
ID090,B,2669.6456368290037,422.1629512158289,5349.943138768494
ID091,A,2521.101746720262,382.8746632879974,5645.083912214112
ID092,C,2490.3286888129605,397.09510811080423,-2071.6910444312084
ID093,C,2445.508091319105,389.24766519095795,-2053.4995770178502
ID094,B,2539.9136114352073,372.0019507439041,5085.800139939512
ID095,C,2496.236529757515,398.7597897123595,-2089.485649020502
ID096,B,2610.330188201652,398.17378737425076,5225.719415730678
ID097,B,2511.422764866204,422.70174614863197,5032.912815738044
ID098,B,2515.030176146188,409.4621752683217,5022.653314053812
ID099,A,2463.6387787786143,384.6371976350619,5461.030727113181
ID100,A,2494.3054376278933,427.8113884950128,5330.657519612956
ID101,A,2530.780176889206,418.3155054328803,5506.037018270659
ID102,B,2328.9831607343376,408.73146555202925,4667.313559510821
ID103,A,2365.181457789429,396.60273851725253,5118.023955175846
ID104,B,2574.3264094022716,385.6084114491478,5168.746728004714
ID105,C,2517.0865438127944,394.4168983589342,-2122.7367976798087
ID106,A,2481.601666364732,416.33122929556276,5371.173752483493
ID107,B,2501.8433933065394,428.26879458901914,4990.586376099407
ID108,C,2534.758170536167,423.14865292408285,-2116.2547140417773
ID109,A,2446.024031969064,392.6672586732059,5383.082255631952
ID110,A,2422.1695274597687,383.20573850066484,5360.6691152049
ID111,A,2519.5845255097684,402.11329370366803,5544.659504638995
ID112,A,2402.162722238497,373.47340951655724,5338.261928110407
